150 11174
0 1 64
0 2 67
0 3 75
0 4 36
0 5 22
0 6 98
0 7 70
0 8 34
0 9 75
0 10 76
0 11 86
0 12 3
0 13 28
0 14 34
0 15 18
0 16 32
0 17 81
0 18 92
0 19 68
0 20 48
0 21 52
0 22 34
0 23 39
0 24 40
0 25 50
0 26 70
0 27 95
0 28 74
0 29 66
0 30 3
0 31 68
0 32 82
0 33 69
0 34 95
0 35 69
0 36 43
0 37 44
0 38 38
0 39 76
0 40 70
0 41 13
0 42 13
0 43 72
0 44 41
0 45 46
0 46 42
0 47 24
0 48 78
0 49 85
0 50 92
0 51 26
0 52 88
0 53 25
0 54 16
0 55 27
0 56 26
0 57 86
0 58 73
0 59 99
0 60 3
0 61 27
0 62 19
0 63 84
0 64 96
0 65 13
0 66 52
0 67 38
0 68 8
0 69 41
0 70 65
0 71 77
0 72 54
0 73 78
0 74 1
1 75 46
1 76 75
1 77 42
1 78 69
1 79 53
1 80 26
1 81 12
1 82 30
1 83 13
1 84 36
1 85 45
1 86 91
1 87 61
1 88 82
1 89 63
1 90 12
1 91 85
1 92 89
1 93 30
1 94 20
1 95 36
1 96 94
1 97 24
1 98 25
1 99 53
1 100 64
1 101 90
1 102 29
1 103 17
1 104 19
1 105 81
1 106 14
1 107 93
1 108 22
1 109 83
1 110 45
1 111 99
1 112 94
1 113 26
1 114 63
1 115 82
1 116 71
1 117 53
1 118 94
1 119 52
1 120 67
1 121 57
1 122 88
1 123 8
1 124 38
1 125 8
1 126 43
1 127 83
1 128 83
1 129 20
1 130 35
1 131 46
1 132 61
1 133 16
1 134 15
1 135 79
1 136 96
1 137 28
1 138 71
1 139 18
1 140 62
1 141 68
1 142 68
1 143 8
1 144 93
1 145 31
1 146 41
1 147 15
1 148 83
1 149 86
2 0 19
2 1 2
2 3 43
2 4 6
2 5 9
2 6 80
2 7 65
2 8 3
2 9 63
2 10 47
2 11 22
2 12 97
2 13 45
2 14 34
2 15 12
2 16 59
2 17 12
2 18 60
2 19 38
2 20 35
2 21 77
2 22 100
2 23 54
2 24 44
2 25 59
2 26 46
2 27 74
2 28 99
2 29 13
2 30 9
2 31 84
2 32 31
2 33 10
2 34 26
2 35 88
2 36 18
2 37 58
2 38 5
2 39 72
2 40 20
2 41 51
2 42 46
2 43 68
2 44 95
2 45 79
2 46 32
2 47 5
2 48 43
2 49 91
2 50 43
2 51 77
2 52 19
2 53 94
2 54 30
2 55 14
2 56 52
2 57 27
2 58 40
2 59 50
2 60 91
2 61 48
2 62 85
2 63 73
2 64 9
2 65 63
2 66 13
2 67 78
2 68 20
2 69 17
2 70 49
2 71 91
2 72 19
2 73 94
2 74 10
3 75 66
3 76 73
3 77 93
3 78 70
3 79 15
3 80 35
3 81 12
3 82 43
3 83 53
3 84 57
3 85 24
3 86 67
3 87 8
3 88 2
3 89 6
3 90 9
3 91 93
3 92 5
3 93 94
3 94 17
3 95 13
3 96 8
3 97 29
3 98 90
3 99 27
3 100 45
3 101 38
3 102 69
3 103 16
3 104 84
3 105 78
3 106 81
3 107 8
3 108 23
3 109 2
3 110 74
3 111 57
3 112 66
3 113 16
3 114 10
3 115 22
3 116 91
3 117 28
3 118 30
3 119 92
3 120 85
3 121 38
3 122 36
3 123 89
3 124 83
3 125 5
3 126 53
3 127 90
3 128 33
3 129 42
3 130 68
3 131 30
3 132 31
3 133 36
3 134 97
3 135 66
3 136 66
3 137 77
3 138 73
3 139 88
3 140 78
3 141 46
3 142 44
3 143 43
3 144 13
3 145 5
3 146 65
3 147 3
3 148 84
3 149 46
4 0 47
4 1 68
4 2 35
4 3 34
4 5 8
4 6 70
4 7 38
4 8 60
4 9 59
4 10 23
4 11 53
4 12 79
4 13 4
4 14 36
4 15 66
4 16 100
4 17 1
4 18 31
4 19 28
4 20 74
4 21 70
4 22 57
4 23 71
4 24 66
4 25 100
4 26 84
4 27 22
4 28 16
4 29 38
4 30 6
4 31 13
4 32 84
4 33 73
4 34 47
4 35 70
4 36 33
4 37 16
4 38 59
4 39 92
4 40 27
4 41 33
4 42 97
4 43 5
4 44 36
4 45 32
4 46 70
4 47 87
4 48 32
4 49 53
4 50 14
4 51 5
4 52 22
4 53 23
4 54 76
4 55 87
4 56 22
4 57 11
4 58 61
4 59 89
4 60 48
4 61 66
4 62 1
4 63 84
4 64 90
4 65 47
4 66 53
4 67 22
4 68 15
4 69 63
4 70 66
4 71 41
4 72 96
4 73 62
4 74 97
5 75 31
5 76 93
5 77 18
5 78 70
5 79 24
5 80 70
5 81 35
5 82 81
5 83 92
5 84 57
5 85 8
5 86 30
5 87 30
5 88 18
5 89 90
5 90 18
5 91 17
5 92 7
5 93 70
5 94 100
5 95 97
5 96 69
5 97 4
5 98 70
5 99 83
5 100 67
5 101 35
5 102 75
5 103 62
5 104 96
5 105 71
5 106 44
5 107 88
5 108 88
5 109 13
5 110 64
5 111 10
5 112 48
5 113 44
5 114 53
5 115 4
5 116 51
5 117 82
5 118 86
5 119 20
5 120 24
5 121 3
5 122 36
5 123 82
5 124 73
5 125 36
5 126 78
5 127 41
5 128 39
5 129 48
5 130 75
5 131 5
5 132 34
5 133 49
5 134 18
5 135 30
5 136 71
5 137 62
5 138 69
5 139 10
5 140 74
5 141 32
5 142 19
5 143 73
5 144 27
5 145 71
5 146 29
5 147 77
5 148 5
5 149 14
6 0 48
6 1 80
6 2 68
6 3 84
6 4 61
6 5 40
6 7 19
6 8 91
6 9 32
6 10 9
6 11 90
6 12 58
6 13 66
6 14 23
6 15 6
6 16 83
6 17 4
6 18 28
6 19 96
6 20 73
6 21 90
6 22 70
6 23 56
6 24 8
6 25 94
6 26 83
6 27 31
6 28 74
6 29 11
6 30 87
6 31 87
6 32 59
6 33 18
6 34 7
6 35 42
6 36 30
6 37 46
6 38 12
6 39 72
6 40 30
6 41 72
6 42 61
6 43 87
6 44 37
6 45 36
6 46 45
6 47 72
6 48 39
6 49 24
6 50 67
6 51 63
6 52 13
6 53 88
6 54 19
6 55 73
6 56 82
6 57 1
6 58 55
6 59 55
6 60 11
6 61 93
6 62 94
6 63 69
6 64 10
6 65 100
6 66 62
6 67 91
6 68 97
6 69 73
6 70 15
6 71 78
6 72 45
6 73 75
6 74 17
7 75 33
7 76 62
7 77 61
7 78 4
7 79 53
7 80 84
7 81 71
7 82 15
7 83 49
7 84 10
7 85 33
7 86 21
7 87 91
7 88 85
7 89 75
7 90 98
7 91 96
7 92 67
7 93 43
