50 1812
0 1 97
0 2 4
0 3 17
0 4 39
0 5 78
0 6 44
0 7 66
0 8 41
0 9 48
0 10 84
0 11 6
0 12 22
0 13 47
0 14 90
0 15 2
0 16 45
0 17 35
0 18 49
0 19 19
0 20 23
0 21 84
0 22 94
0 23 47
0 24 71
0 25 94
0 26 34
0 27 52
0 28 48
0 29 59
0 30 60
0 31 77
0 32 55
0 33 64
0 34 45
0 35 46
0 36 93
1 37 40
1 38 63
1 39 86
1 40 87
1 41 46
1 42 91
1 43 9
1 44 93
1 45 32
1 46 62
1 47 89
1 48 66
1 49 10
1 0 59
1 2 88
1 3 46
1 4 53
1 5 86
1 6 16
1 7 98
1 8 71
1 9 19
1 10 97
1 11 29
1 12 78
1 13 73
1 14 36
1 15 93
1 16 69
1 17 81
1 18 38
1 19 9
1 20 43
1 21 75
1 22 95
1 23 41
2 24 17
2 25 55
2 26 85
2 27 48
2 28 69
2 29 73
2 30 65
2 31 78
2 32 31
2 33 4
2 34 23
2 35 35
2 36 89
2 37 38
2 38 32
2 39 59
2 40 56
2 41 29
2 42 40
2 43 86
2 44 1
2 45 75
2 46 30
2 47 70
2 48 55
2 49 67
2 0 30
2 1 49
2 3 41
2 4 76
2 5 41
2 6 57
2 7 31
2 8 25
2 9 56
2 10 99
3 11 97
3 12 20
3 13 28
3 14 80
3 15 23
3 16 51
3 17 14
3 18 63
3 19 40
3 20 98
3 21 74
3 22 48
3 23 26
3 24 13
3 25 33
3 26 78
3 27 87
3 28 14
3 29 99
3 30 93
3 31 81
3 32 28
3 33 93
3 34 73
3 35 4
3 36 34
3 37 82
3 38 86
3 39 58
3 40 37
3 41 36
3 42 7
3 43 9
3 44 63
3 45 38
3 46 83
3 47 65
4 48 51
4 49 46
4 0 5
4 1 100
4 2 71
4 3 4
4 5 25
4 6 35
4 7 36
4 8 3
4 9 73
4 10 49
4 11 53
4 12 65
4 13 81
4 14 81
4 15 57
4 16 6
4 17 36
4 18 42
4 19 87
4 20 21
4 21 100
4 22 75
