50 588
0 1 77
0 2 34
0 3 71
0 4 69
0 5 13
0 6 94
0 7 81
0 8 23
0 9 68
0 10 84
0 11 48
1 12 60
1 13 43
1 14 25
1 15 87
1 16 42
1 17 84
1 18 5
1 19 22
1 20 33
1 21 64
1 22 25
1 23 69
2 24 19
2 25 40
2 26 49
2 27 79
2 28 50
2 29 18
2 30 21
2 31 89
2 32 94
2 33 54
2 34 11
2 35 63
3 36 67
3 37 5
3 38 95
3 39 41
3 40 24
3 41 78
3 42 40
3 43 35
3 44 72
3 45 64
3 46 21
3 47 13
4 48 100
4 49 25
4 0 35
4 1 32
4 2 40
4 3 11
4 5 52
4 6 10
4 7 50
4 8 1
4 9 88
5 10 100
5 11 18
5 12 60
5 13 40
5 14 11
5 15 66
5 16 3
5 17 25
5 18 84
5 19 7
5 20 19
5 21 76
6 22 82
6 23 49
6 24 15
6 25 17
6 26 72
6 27 78
6 28 37
6 29 85
6 30 29
6 31 14
6 32 71
6 33 61
7 34 53
7 35 81
7 36 12
7 37 63
7 38 82
7 39 64
7 40 2
7 41 33
7 42 81
7 43 14
7 44 73
7 45 44
8 46 79
8 47 27
8 48 20
8 49 62
8 0 33
8 1 91
8 2 37
8 3 14
8 4 91
8 5 3
8 6 82
8 7 62
9 8 80
9 10 19
9 11 46
9 12 61
9 13 84
9 14 68
9 15 21
9 16 36
9 17 48
9 18 84
9 19 50
10 20 82
10 21 48
10 22 4
10 23 14
10 24 80
10 25 17
10 26 38
10 27 75
10 28 95
10 29 64
10 30 95
10 31 8
11 32 48
11 33 85
11 34 96
11 35 14
11 36 75
11 37 50
11 38 95
11 39 88
11 40 81
11 41 65
11 42 34
11 43 41
12 44 48
12 45 53
12 46 61
12 47 36
12 48 53
12 49 97
12 0 85
12 1 34
12 2 96
12 3 40
12 4 47
12 5 27
13 6 56
13 7 37
13 8 2
13 9 2
13 10 100
13 11 48
13 12 61
13 14 100
13 15 84
13 16 8
13 17 13
14 18 10
14 19 57
14 20 7
14 21 97
14 22 38
14 23 24
14 24 82
14 25 78
14 26 71
14 27 35
14 28 91
14 29 58
15 30 87
15 31 87
15 32 95
15 33 72
15 34 34
15 35 34
15 36 70
15 37 60
15 38 90
15 39 6
15 40 13
15 41 43
16 42 58
16 43 60
16 44 4
16 45 57
16 46 95
16 47 11
16 48 69
16 49 4
16 0 20
16 1 27
16 2 1
16 3 57
17 4 50
17 5 82
17 6 34
17 7 21
17 8 68
17 9 24
17 10 78
17 11 6
17 12 62
17 13 72
17 14 77
17 15 47
18 16 58
18 17 47
18 19 7
18 20 47
18 21 52
18 22 71
18 23 89
18 24 61
18 25 83
18 26 44
18 27 17
19 28 77
19 29 7
19 30 85
19 31 81
19 32 26
19 33 64
19 34 33
19 35 82
19 36 13
19 37 14
19 38 67
19 39 85
20 40 34
20 41 43
20 42 15
20 43 39
20 44 4
20 45 86
20 46 68
20 47 51
20 48 95
20 49 14
20 0 9
20 1 41
21 2 17
21 3 31
21 4 82
21 5 78
21 6 13
21 7 77
21 8 46
21 9 90
21 10 83
21 11 83
21 12 70
21 13 8
22 14 46
22 15 2
22 16 41
22 17 58
22 18 67
22 19 8
22 20 43
22 21 52
22 23 50
22 24 57
22 25 43
23 26 5
23 27 94
23 28 10
23 29 7
23 30 41
23 31 75
23 32 67
23 33 81
23 34 91
23 35 98
23 36 14
23 37 20
24 38 10
24 39 43
24 40 18
24 41 51
24 42 25
24 43 100
24 44 72
24 45 85
24 46 97
24 47 25
24 48 25
24 49 6
25 0 44
25 1 84
25 2 48
25 3 95
25 4 33
25 5 56
25 6 89
25 7 90
25 8 2
25 9 98
25 10 96
25 11 42
26 12 72
26 13 63
26 14 74
26 15 15
26 16 12
26 17 40
26 18 86
26 19 73
