100 9900
0 1 69
0 2 25
0 3 3
0 4 44
0 5 25
0 6 77
0 7 62
0 8 76
0 9 74
0 10 98
0 11 23
0 12 70
0 13 50
0 14 52
0 15 30
0 16 23
0 17 31
0 18 93
0 19 62
0 20 28
0 21 69
0 22 40
0 23 38
0 24 25
0 25 39
0 26 40
0 27 33
0 28 4
0 29 77
0 30 48
0 31 8
0 32 97
0 33 24
0 34 10
0 35 92
0 36 1
0 37 86
0 38 54
0 39 28
0 40 11
0 41 3
0 42 2
0 43 33
0 44 52
0 45 54
0 46 62
0 47 74
0 48 36
0 49 54
0 50 87
0 51 63
0 52 74
0 53 79
0 54 52
0 55 50
0 56 17
0 57 43
0 58 83
0 59 20
0 60 71
0 61 82
0 62 79
0 63 68
0 64 57
0 65 89
0 66 59
0 67 9
0 68 74
0 69 64
0 70 36
0 71 85
0 72 66
0 73 38
0 74 17
0 75 70
0 76 91
0 77 30
0 78 95
0 79 26
0 80 84
0 81 82
0 82 40
0 83 9
0 84 60
0 85 43
0 86 59
0 87 28
0 88 85
0 89 93
0 90 47
0 91 55
0 92 26
0 93 26
0 94 74
0 95 34
0 96 66
0 97 85
0 98 43
0 99 39
1 0 100
1 2 78
1 3 75
1 4 66
1 5 67
1 6 43
1 7 87
1 8 57
1 9 73
1 10 81
1 11 34
1 12 8
1 13 62
1 14 73
1 15 16
1 16 73
1 17 15
1 18 26
1 19 100
1 20 51
1 21 70
1 22 99
1 23 58
1 24 95
1 25 76
1 26 31
1 27 29
1 28 41
1 29 15
1 30 23
1 31 31
1 32 15
1 33 100
1 34 58
1 35 32
1 36 19
1 37 100
1 38 18
1 39 75
1 40 24
1 41 50
1 42 61
1 43 31
1 44 12
1 45 85
1 46 99
1 47 84
1 48 52
1 49 76
1 50 36
1 51 2
1 52 46
1 53 34
1 54 59
1 55 92
1 56 9
1 57 42
1 58 72
1 59 1
1 60 8
1 61 94
1 62 31
1 63 74
1 64 46
1 65 88
1 66 5
1 67 64
1 68 40
1 69 74
1 70 90
1 71 63
1 72 24
1 73 50
1 74 46
1 75 87
1 76 35
1 77 96
1 78 22
1 79 86
1 80 71
1 81 57
1 82 87
1 83 68
1 84 90
1 85 98
1 86 60
1 87 50
1 88 91
1 89 31
1 90 50
1 91 98
1 92 77
1 93 33
1 94 72
1 95 22
1 96 20
1 97 28
1 98 85
1 99 11
2 0 54
2 1 74
2 3 74
2 4 29
2 5 76
2 6 71
2 7 15
2 8 10
2 9 66
2 10 36
2 11 95
2 12 88
2 13 45
2 14 33
2 15 56
2 16 86
2 17 82
2 18 67
2 19 36
2 20 72
2 21 97
2 22 37
2 23 70
2 24 25
2 25 69
2 26 41
2 27 46
2 28 41
2 29 20
2 30 82
2 31 3
2 32 73
2 33 8
2 34 76
2 35 1
2 36 83
2 37 98
2 38 67
2 39 92
2 40 63
2 41 55
2 42 38
2 43 51
2 44 99
2 45 70
2 46 6
2 47 84
2 48 4
2 49 72
2 50 71
2 51 75
2 52 20
2 53 8
2 54 44
2 55 45
2 56 28
2 57 36
2 58 42
2 59 20
2 60 8
2 61 24
2 62 23
2 63 80
2 64 31
2 65 50
2 66 33
2 67 13
2 68 48
2 69 51
2 70 56
2 71 10
2 72 5
2 73 93
2 74 60
2 75 3
2 76 14
2 77 17
2 78 39
2 79 17
2 80 40
2 81 9
2 82 44
2 83 12
2 84 68
2 85 39
2 86 8
2 87 96
2 88 27
2 89 49
2 90 15
2 91 34
2 92 24
2 93 89
2 94 65
2 95 6
2 96 39
2 97 97
2 98 18
2 99 86
3 0 100
3 1 25
3 2 95
3 4 4
3 5 69
3 6 7
3 7 7
3 8 83
3 9 75
3 10 45
3 11 51
3 12 67
3 13 5
3 14 94
3 15 78
3 16 73
3 17 85
3 18 37
3 19 20
3 20 11
3 21 85
3 22 34
3 23 44
3 24 61
3 25 75
3 26 8
3 27 66
3 28 13
3 29 57
3 30 84
3 31 98
3 32 56
3 33 60
3 34 44
3 35 11
3 36 29
3 37 2
3 38 17
3 39 63
3 40 29
3 41 13
3 42 65
3 43 95
3 44 70
3 45 59
3 46 24
3 47 42
3 48 95
3 49 60
3 50 61
3 51 5
3 52 96
3 53 46
3 54 48
3 55 56
3 56 20
3 57 7
3 58 22
3 59 84
3 60 15
3 61 57
3 62 81
3 63 70
3 64 16
3 65 77
3 66 33
3 67 96
3 68 30
3 69 49
3 70 58
3 71 10
3 72 14
3 73 23
3 74 4
3 75 35
3 76 33
3 77 79
3 78 76
3 79 27
3 80 90
3 81 88
3 82 83
3 83 86
3 84 33
3 85 30
3 86 93
3 87 5
3 88 88
3 89 14
3 90 88
3 91 3
3 92 22
3 93 21
3 94 24
3 95 90
3 96 49
3 97 56
3 98 85
3 99 30
4 0 57
4 1 95
4 2 40
4 3 22
4 5 69
4 6 95
4 7 56
4 8 1
4 9 74
4 10 83
4 11 79
4 12 63
4 13 70
4 14 61
4 15 100
4 16 54
4 17 42
4 18 93
4 19 10
4 20 81
4 21 6
4 22 98
4 23 83
4 24 80
4 25 70
4 26 59
4 27 69
4 28 70
4 29 66
4 30 5
4 31 99
4 32 22
4 33 99
4 34 38
4 35 95
4 36 67
4 37 33
4 38 50
4 39 19
4 40 58
4 41 84
4 42 49
4 43 20
4 44 53
4 45 61
4 46 72
4 47 59
4 48 54
4 49 64
4 50 68
4 51 35
4 52 21
4 53 17
4 54 69
4 55 100
4 56 38
4 57 27
4 58 68
4 59 7
4 60 45
4 61 73
4 62 6
4 63 18
4 64 23
4 65 95
4 66 13
4 67 90
4 68 79
4 69 14
4 70 60
4 71 36
4 72 98
4 73 9
4 74 8
4 75 50
4 76 69
4 77 79
4 78 60
4 79 23
4 80 42
4 81 28
4 82 9
4 83 62
4 84 44
4 85 77
4 86 14
4 87 34
4 88 56
4 89 81
4 90 40
4 91 100
4 92 5
4 93 97
4 94 17
4 95 28
4 96 92
4 97 81
4 98 69
4 99 70
5 0 95
5 1 80
5 2 58
5 3 92
5 4 88
5 6 65
5 7 93
5 8 9
5 9 43
5 10 53
5 11 83
5 12 36
5 13 32
5 14 91
5 15 49
5 16 27
5 17 19
5 18 62
5 19 60
5 20 26
5 21 95
5 22 100
5 23 25
5 24 99
5 25 48
5 26 94
5 27 78
5 28 39
5 29 26
5 30 98
5 31 61
5 32 20
5 33 78
5 34 18
5 35 63
5 36 17
5 37 82
5 38 8
5 39 25
5 40 76
5 41 12
5 42 59
5 43 63
5 44 43
5 45 1
5 46 11
5 47 21
5 48 20
5 49 73
5 50 81
5 51 45
5 52 19
5 53 32
5 54 22
5 55 17
5 56 79
5 57 67
5 58 47
5 59 70
5 60 92
5 61 96
5 62 30
5 63 64
5 64 73
5 65 99
5 66 26
5 67 90
5 68 32
5 69 85
5 70 66
5 71 59
5 72 96
5 73 77
5 74 21
5 75 90
5 76 77
5 77 31
5 78 11
5 79 96
5 80 55
5 81 43
5 82 93
5 83 73
5 84 74
5 85 66
5 86 42
5 87 4
5 88 32
5 89 88
5 90 25
5 91 23
5 92 35
5 93 54
5 94 86
5 95 8
5 96 4
5 97 64
5 98 49
5 99 35
6 0 48
6 1 66
6 2 93
6 3 96
6 4 42
6 5 13
6 7 85
6 8 71
6 9 96
6 10 95
6 11 66
6 12 50
6 13 37
6 14 10
6 15 23
6 16 62
6 17 75
6 18 16
6 19 18
6 20 6
6 21 55
6 22 42
6 23 81
6 24 89
6 25 48
6 26 18
6 27 48
6 28 51
6 29 81
6 30 96
6 31 86
6 32 81
6 33 14
6 34 30
6 35 76
6 36 7
6 37 43
6 38 60
6 39 77
6 40 90
6 41 7
6 42 95
6 43 39
6 44 95
6 45 4
6 46 13
6 47 9
6 48 31
6 49 28
6 50 26
6 51 88
6 52 82
6 53 19
6 54 68
6 55 71
6 56 66
6 57 86
6 58 18
6 59 17
6 60 18
6 61 66
6 62 54
6 63 98
6 64 31
6 65 83
6 66 73
6 67 89
6 68 77
6 69 85
6 70 66
6 71 66
6 72 91
6 73 60
6 74 57
6 75 85
6 76 15
6 77 69
6 78 45
6 79 45
6 80 49
6 81 70
6 82 33
6 83 30
6 84 89
6 85 52
6 86 52
6 87 54
6 88 89
6 89 22
6 90 22
6 91 7
6 92 39
6 93 27
6 94 4
6 95 21
6 96 10
6 97 29
6 98 9
6 99 38
7 0 13
7 1 74
7 2 4
7 3 55
7 4 85
7 5 60
7 6 91
7 8 100
7 9 80
7 10 36
7 11 96
7 12 28
7 13 57
7 14 80
7 15 10
7 16 45
7 17 84
7 18 61
7 19 51
7 20 72
7 21 34
7 22 24
7 23 78
7 24 72
7 25 51
7 26 34
7 27 92
7 28 12
7 29 62
7 30 53
7 31 49
7 32 26
7 33 26
7 34 4
7 35 32
7 36 63
7 37 15
7 38 22
7 39 14
7 40 95
7 41 9
7 42 61
7 43 22
7 44 66
7 45 41
7 46 83
7 47 62
7 48 24
7 49 44
7 50 64
7 51 47
7 52 77
7 53 88
7 54 25
7 55 1
7 56 90
7 57 58
7 58 44
7 59 1
7 60 71
7 61 96
7 62 1
7 63 48
7 64 74
7 65 5
7 66 79
7 67 36
7 68 19
7 69 52
7 70 1
7 71 65
7 72 61
7 73 61
7 74 39
7 75 26
7 76 1
7 77 21
7 78 39
7 79 76
7 80 16
7 81 3
7 82 23
7 83 45
7 84 90
7 85 99
7 86 45
7 87 79
7 88 56
7 89 40
7 90 31
7 91 78
7 92 88
7 93 31
7 94 25
7 95 13
7 96 87
7 97 3
7 98 100
7 99 58
8 0 54
8 1 100
8 2 22
8 3 66
8 4 60
8 5 60
8 6 43
8 7 13
8 9 33
8 10 82
8 11 40
8 12 48
8 13 84
8 14 14
8 15 92
8 16 25
8 17 12
8 18 88
8 19 55
8 20 19
8 21 28
8 22 37
8 23 96
8 24 15
8 25 19
8 26 20
8 27 79
8 28 6
8 29 74
8 30 78
8 31 63
8 32 80
8 33 77
8 34 36
8 35 45
8 36 36
8 37 96
8 38 40
8 39 48
8 40 80
8 41 73
8 42 40
8 43 27
8 44 8
8 45 53
8 46 19
8 47 32
8 48 65
8 49 6
8 50 38
8 51 35
8 52 85
8 53 74
8 54 31
8 55 51
8 56 44
8 57 2
8 58 29
8 59 49
8 60 28
8 61 6
8 62 63
8 63 7
8 64 82
8 65 99
8 66 3
8 67 70
8 68 94
8 69 94
8 70 69
8 71 25
8 72 66
8 73 8
8 74 51
8 75 73
8 76 61
8 77 69
8 78 56
8 79 77
8 80 27
8 81 93
8 82 11
8 83 11
8 84 18
8 85 93
8 86 14
8 87 62
8 88 95
8 89 42
8 90 62
8 91 22
8 92 48
8 93 25
8 94 80
8 95 81
8 96 23
8 97 34
8 98 2
8 99 68
9 0 28
9 1 71
9 2 92
9 3 93
9 4 30
9 5 42
9 6 18
9 7 42
9 8 63
9 10 73
9 11 18
9 12 41
9 13 66
9 14 81
9 15 51
9 16 35
9 17 73
9 18 16
9 19 96
9 20 19
9 21 58
9 22 10
9 23 92
9 24 57
9 25 34
9 26 71
9 27 89
9 28 56
9 29 57
9 30 91
9 31 23
9 32 36
9 33 61
9 34 66
9 35 28
9 36 42
9 37 7
9 38 97
9 39 84
9 40 21
9 41 70
9 42 53
9 43 61
9 44 35
9 45 33
9 46 64
9 47 21
9 48 58
9 49 79
9 50 69
9 51 76
9 52 36
9 53 78
9 54 68
9 55 44
9 56 11
9 57 90
9 58 33
9 59 66
9 60 46
9 61 23
9 62 40
9 63 33
9 64 35
9 65 5
9 66 13
9 67 76
9 68 63
9 69 9
9 70 59
9 71 84
9 72 78
9 73 12
9 74 44
9 75 12
9 76 96
9 77 59
9 78 33
9 79 53
9 80 38
9 81 1
9 82 29
9 83 73
9 84 30
9 85 48
9 86 17
9 87 40
9 88 89
9 89 1
9 90 57
9 91 87
9 92 23
9 93 96
9 94 19
9 95 57
9 96 52
9 97 31
9 98 84
9 99 14
10 0 40
10 1 43
10 2 97
10 3 17
10 4 6
10 5 93
10 6 81
10 7 53
10 8 51
10 9 13
10 11 6
10 12 88
10 13 65
10 14 86
10 15 13
10 16 94
10 17 85
10 18 81
10 19 85
10 20 73
10 21 81
10 22 41
10 23 59
10 24 55
10 25 88
10 26 78
10 27 11
10 28 39
10 29 8
10 30 94
10 31 52
10 32 47
10 33 88
10 34 1
10 35 16
10 36 45
10 37 45
10 38 96
10 39 98
10 40 95
10 41 60
10 42 55
10 43 35
10 44 76
10 45 92
10 46 99
10 47 69
10 48 28
10 49 31
10 50 5
10 51 100
10 52 63
10 53 45
10 54 11
10 55 17
10 56 32
10 57 88
10 58 79
10 59 70
10 60 47
10 61 72
10 62 73
10 63 46
10 64 12
10 65 25
10 66 61
10 67 8
10 68 69
